# LANG=zh_TW
慈母	ㄘˊ ㄇㄨˇ
慈烏	ㄘˊ ㄨ
懊惱	ㄠˋ ㄋㄠˇ
扛上	ㄎㄤˊ ㄕㄤˋ
拭目	ㄕˋ ㄇㄨˋ
攝氏	ㄕㄜˋ ㄕˋ
攝食	ㄕㄜˋ ㄕˊ
數上	ㄕㄨˇ ㄕㄤˋ
數十	ㄕㄨˋ ㄕˊ
數數	ㄕㄨˇ ㄕㄨˋ
數次	ㄕㄨˋ ㄘˋ
數目	ㄕㄨˋ ㄇㄨˋ
數額	ㄕㄨˋ ㄜˊ
施捨	ㄕ ㄕㄜˇ
施氏食獅史	ㄕ ㄕˋ ㄕˊ ㄕ ㄕˇ
施舍	ㄕ ㄕㄜˇ
旺市	ㄨㄤˋ ㄕˋ
旺旺	ㄨㄤˋ ㄨㄤˋ
昂昂	ㄤˊ ㄤˊ
時世	ㄕˊ ㄕˋ
時事	ㄕˊ ㄕˋ
時刻	ㄕˊ ㄎㄜˋ
時務	ㄕˊ ㄨˋ
時勢	ㄕˊ ㄕˋ
時尚	ㄕˊ ㄕㄤˋ
時式	ㄕˊ ㄕˋ
時數	ㄕˊ ㄕㄨˋ
時時	ㄕˊ ㄕˊ
時時刻刻	ㄕˊ ㄕˊ ㄎㄜˋ ㄎㄜˋ
時框	ㄕˊ ㄎㄨㄤ
時食	ㄕˊ ㄕˊ
時髦	ㄕˊ ㄇㄠˊ
晌午	ㄕㄤˇ ㄨˇ
晤商	ㄨˋ ㄕㄤ
曠世	ㄎㄨㄤˋ ㄕˋ
曠士	ㄎㄨㄤˋ ㄕˋ
曠課	ㄎㄨㄤˋ ㄎㄜˋ
曠課時數	ㄎㄨㄤˋ ㄎㄜˋ ㄕˊ ㄕㄨˋ
書上	ㄕㄨ ㄕㄤˋ
書冊	ㄕㄨ ㄘㄜˋ
書商	ㄕㄨ ㄕㄤ
書塾	ㄕㄨ ㄕㄨˊ
書屋	ㄕㄨ ㄨ
書庫	ㄕㄨ ㄎㄨˋ
書目	ㄕㄨ ㄇㄨˋ
曹操	ㄘㄠˊ ㄘㄠ
曹爽	ㄘㄠˊ ㄕㄨㄤˇ
望望	ㄨㄤˋ ㄨㄤˋ
木刻	ㄇㄨˋ ㄎㄜ
木刻	ㄇㄨˋ ㄎㄜˋ
木刻術	ㄇㄨˋ ㄎㄜ ㄕㄨˋ
木刻術	ㄇㄨˋ ㄎㄜˋ ㄕㄨˋ
木屋	ㄇㄨˋ ㄨ
木石	ㄇㄨˋ ㄕˊ
木薯	ㄇㄨˋ ㄕㄨˇ
枯木	ㄎㄨ ㄇㄨˋ
枯樹	ㄎㄨ ㄕㄨˋ
枯草	ㄎㄨ ㄘㄠˇ
柿霜	ㄕˋ ㄕㄨㄤ
框上	ㄎㄨㄤ ㄕㄤˋ
框框	ㄎㄨㄤ ㄎㄨㄤ
槭樹	ㄘㄨˋ ㄕㄨˋ
樹上	ㄕㄨˋ ㄕㄤˋ
樹木	ㄕㄨˋ ㄇㄨˋ
樹梢	ㄕㄨˋ ㄕㄠ
樹王	ㄕㄨˋ ㄨㄤˊ
樹薯	ㄕㄨˋ ㄕㄨˇ
次數	ㄘˋ ㄕㄨˋ
此事	ㄘˇ ㄕˋ
此刻	ㄘˇ ㄎㄜˋ
此時	ㄘˇ ㄕˊ
此時此刻	ㄘˇ ㄕˊ ㄘˇ ㄎㄜˋ
此書	ㄘˇ ㄕㄨ
此樹	ㄘˇ ㄕㄨˋ
此次	ㄘˇ ㄘˋ
武士	ㄨˇ ㄕˋ
武師	ㄨˇ ㄕ
武王	ㄨˇ ㄨㄤˊ
武術	ㄨˇ ㄕㄨˋ
殊屬	ㄕㄨ ㄕㄨˇ
毋忘	ㄨˊ ㄨㄤˋ
母樹	ㄇㄨˇ ㄕㄨˋ
母獅	ㄇㄨˇ ㄕ
毛上	ㄇㄠˊ ㄕㄤˋ
毛刺	ㄇㄠˊ ㄘˋ
毛囊	ㄇㄠˊ ㄋㄤˊ
毛姆	ㄇㄠˊ ㄇㄨˇ
毛毛	ㄇㄠˊ ㄇㄠˊ
毛毛糙糙	ㄇㄠˊ ㄇㄠˊ ㄘㄠ ㄘㄠ
毛糙	ㄇㄠˊ ㄘㄠ
毛詩	ㄇㄠˊ ㄕ
毛額	ㄇㄠˊ ㄜˊ
污物	ㄨ ㄨˋ
汪汪	ㄨㄤ ㄨㄤ
涉世	ㄕㄜˋ ㄕˋ
涉事	ㄕㄜˋ ㄕˋ
測時	ㄘㄜˋ ㄕˊ
測試	ㄘㄜˋ ㄕˋ
渴慕	ㄎㄜˇ ㄇㄨˋ
渴望	ㄎㄜˇ ㄨㄤˋ
渴渴	ㄎㄜˇ ㄎㄜˇ
湯湯	ㄕㄤ ㄕㄤ
溘逝	ㄎㄜˋ ㄕˋ
滄茫	ㄘㄤ ㄇㄤˊ
烏木	ㄨ ㄇㄨˋ
烤烤	ㄎㄠˇ ㄎㄠˇ
無上	ㄨˊ ㄕㄤˋ
無事忙	ㄨˊ ㄕˋ ㄇㄤˊ
無傷	ㄨˊ ㄕㄤ
無可	ㄨˊ ㄎㄜˇ
無數	ㄨˊ ㄕㄨˋ
無時	ㄨˊ ㄕˊ
無時無刻	ㄨˊ ㄕˊ ㄨˊ ㄎㄜˋ
無望	ㄨˊ ㄨㄤˋ
無物	ㄨˊ ㄨˋ
無疵	ㄨˊ ㄘ
無視	ㄨˊ ㄕˋ
無誤	ㄨˊ ㄨˋ
無雙	ㄨˊ ㄕㄨㄤ
熬惱	ㄠ ㄋㄠˇ
燒上	ㄕㄠ ㄕㄤˋ
燒傷	ㄕㄠ ㄕㄤ
燒毛	ㄕㄠ ㄇㄠˊ
燒烤	ㄕㄠ ㄎㄠˇ
燒燒	ㄕㄠ ㄕㄠ
燒磁	ㄕㄠ ㄘˊ
牧師	ㄇㄨˋ ㄕ
牧草	ㄇㄨˋ ㄘㄠˇ
物事	ㄨˋ ㄕˋ
犒賞	ㄎㄠˋ ㄕㄤˇ
